Code,Gender,Customer Type,Age,State,Type of Travel,Class,Flight Distance,Departure Delay in Minutes,Arrival Delay in Minutes,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Food and drink,Seat comfort,Inflight entertainment,Baggage handling,Checkin service,Inflight service,Cleanliness,satisfaction,Delay
ZJ12087434,Female,Loyal Customer,37.0,CO,Business travel,Eco,177.0,30.0,32.5,5.0,4.0,4.0,5.0,5.0,5.0,5.0,1.0,3.0,5.0,satisfied,Yes
GQ36005919,Male,Loyal Customer,44.0,NC,Business travel,Business,871.0,0.0,0.0,3.0,3.0,3.0,5.0,1.0,2.0,2.0,5.0,2.0,5.0,satisfied,No
EF86518680,Male,Loyal Customer,17.0,HI,Business travel,Eco Plus,292.0,0.0,0.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,1.0,4.0,satisfied,No
SF34161480,Female,Disloyal Customer,36.0,OH,Business travel,Eco,274.0,0.0,0.0,0.0,5.0,3.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,neutral or dissatisfied,No
GL49182780,Male,Loyal Customer,59.0,NJ,Business travel,Eco Plus,641.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,neutral or dissatisfied,No
VZ38247885,Female,Loyal Customer,28.0,NJ,Personal Travel,Eco,1379.0,24.0,19.0,0.0,5.0,2.0,0.0,2.0,5.0,0.0,0.0,5.0,0.0,neutral or dissatisfied,Yes
TD94430161,Female,Disloyal Customer,64.0,GA,Business travel,Eco Plus,602.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,2.0,1.0,1.0,3.0,2.0,neutral or dissatisfied,No
QL71208650,Male,Loyal Customer,8.0,NJ,Personal Travel,Eco,1035.0,0.0,0.0,2.0,1.0,2.0,0.0,5.0,5.0,1.0,0.0,3.0,0.0,neutral or dissatisfied,No
GN28371679,Male,Loyal Customer,17.0,SC,Business travel,Business,427.0,30.0,32.5,0.0,1.0,1.0,3.0,0.0,3.0,1.0,1.0,3.0,5.0,neutral or dissatisfied,Yes
MD63951296,Female,Loyal Customer,54.0,VA,Personal Travel,Eco,1126.0,0.0,0.0,1.0,4.0,1.0,3.0,4.0,4.0,0.0,1.0,4.0,0.0,neutral or dissatisfied,No
OG53118777,Male,Loyal Customer,59.0,CT,Business travel,Eco,419.0,30.0,32.5,5.0,4.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,satisfied,Yes
YJ38553976,Female,Disloyal Customer,30.0,GA,Business travel,Business,235.0,30.0,32.5,4.0,4.0,4.0,1.0,1.0,1.0,5.0,3.0,4.0,1.0,satisfied,Yes
GJ93664554,Female,Loyal Customer,41.0,PA,Personal Travel,Eco Plus,1164.0,0.0,0.0,1.0,5.0,5.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,neutral or dissatisfied,No
RZ80442987,Male,Loyal Customer,9.0,NJ,Personal Travel,Eco,501.0,30.0,32.5,0.0,5.0,3.0,0.0,4.0,4.0,1.0,0.0,5.0,4.0,neutral or dissatisfied,Yes
UE51124848,Male,Loyal Customer,31.0,IN,Business travel,Business,2808.0,0.0,0.0,3.0,3.0,2.0,5.0,5.0,5.0,2.0,1.0,1.0,5.0,satisfied,No
VF37423021,Female,Loyal Customer,40.0,NJ,Business travel,Business,2139.0,0.0,0.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,satisfied,No
AE28759249,Female,Loyal Customer,59.0,OH,Business travel,Business,1440.0,7.0,0.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,satisfied,No
OG71540259,Female,Loyal Customer,57.0,TN,Business travel,Business,3612.0,5.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,neutral or dissatisfied,No
OR10173817,Female,Loyal Customer,67.0,OH,Business travel,Eco,603.0,0.0,0.0,1.0,5.0,4.0,2.0,2.0,4.0,0.0,2.0,4.0,1.0,neutral or dissatisfied,No
OF41207884,Male,Loyal Customer,28.0,NJ,Personal Travel,Eco,925.0,0.0,0.0,1.0,5.0,4.0,0.0,5.0,5.0,1.0,1.0,4.0,0.0,neutral or dissatisfied,No
IO87073550,Female,Loyal Customer,48.0,NJ,Business travel,Business,2634.0,17.0,0.0,5.0,2.0,5.0,1.0,2.0,4.0,4.0,5.0,4.0,3.0,satisfied,Yes
NX15260388,Male,Loyal Customer,58.0,NJ,Personal Travel,Eco,175.0,0.0,6.0,1.0,4.0,1.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,neutral or dissatisfied,No
HA02598167,Male,Loyal Customer,57.0,NJ,Business travel,Business,2466.0,0.0,10.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,satisfied,No
BR12306027,Male,Loyal Customer,10.0,PA,Personal Travel,Eco,2106.0,0.0,13.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,4.0,satisfied,No
KK47930896,Male,Loyal Customer,40.0,TN,Business travel,Business,2334.0,12.0,18.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,satisfied,No
IO10605671,Male,Disloyal Customer,26.0,NJ,Business travel,Eco,147.0,30.0,14.0,1.0,5.0,1.0,0.0,4.0,4.0,1.0,1.0,3.0,4.0,neutral or dissatisfied,Yes
MK14025814,Male,Loyal Customer,49.0,NJ,Personal Travel,Eco,584.0,30.0,32.5,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,4.0,3.0,satisfied,Yes
SK88170483,Male,Loyal Customer,59.0,WV,Personal Travel,Eco Plus,127.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,neutral or dissatisfied,No
PO79035317,Female,Loyal Customer,17.0,NJ,Personal Travel,Eco,236.0,25.0,22.0,1.0,5.0,1.0,3.0,0.0,3.0,2.0,0.0,3.0,5.0,neutral or dissatisfied,Yes
IG14787379,Male,Loyal Customer,48.0,MI,Business travel,Eco,950.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,1.0,0.0,2.0,4.0,neutral or dissatisfied,No
ES47969969,Male,Loyal Customer,50.0,AL,Business travel,Business,3739.0,0.0,32.5,2.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,2.0,4.0,neutral or dissatisfied,No
SG42842920,Female,Loyal Customer,54.0,VA,Business travel,Business,2586.0,0.0,0.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,satisfied,No
SJ74898779,Female,Loyal Customer,29.0,MA,Business travel,Eco Plus,413.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,5.0,4.0,satisfied,No
BJ86193050,Male,Loyal Customer,56.0,NJ,Business travel,Business,2772.0,8.0,0.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,satisfied,No
SE41302751,Male,Loyal Customer,18.0,TN,Personal Travel,Eco,1598.0,30.0,32.5,1.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,neutral or dissatisfied,Yes
ZL11082450,Female,Loyal Customer,28.0,NV,Personal Travel,Eco,1303.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,neutral or dissatisfied,No
FY90451854,Female,Disloyal Customer,25.0,CT,Business travel,Business,601.0,0.0,0.0,4.0,0.0,4.0,2.0,3.0,2.0,4.0,5.0,4.0,2.0,satisfied,No
HN65543847,Male,Loyal Customer,45.0,NC,Personal Travel,Eco,670.0,11.0,1.0,2.0,5.0,2.0,3.0,0.0,3.0,0.0,0.0,5.0,5.0,neutral or dissatisfied,No
EJ05836975,Female,Loyal Customer,43.0,NJ,Business travel,Business,2435.0,16.0,7.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,satisfied,Yes
LW63620707,Female,Loyal Customer,27.0,OH,Personal Travel,Eco,411.0,0.0,0.0,1.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,3.0,2.0,neutral or dissatisfied,No
YE66389709,Male,Loyal Customer,41.0,NC,Personal Travel,Eco,335.0,0.0,0.0,2.0,5.0,2.0,0.0,5.0,5.0,1.0,0.0,5.0,0.0,neutral or dissatisfied,No
ZJ17129223,Male,Loyal Customer,30.0,NJ,Personal Travel,Eco,404.0,0.0,0.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,satisfied,No
BT30864038,Female,Disloyal Customer,11.0,VA,Business travel,Eco,599.0,0.0,0.0,5.0,0.0,5.0,2.0,2.0,2.0,5.0,2.0,4.0,2.0,satisfied,No
ZK26286661,Male,Loyal Customer,47.0,NJ,Business travel,Eco,676.0,6.0,0.0,5.0,1.0,1.0,5.0,5.0,5.0,4.0,1.0,1.0,5.0,satisfied,No
JE17640025,Male,Loyal Customer,37.0,AR,Business travel,Eco,499.0,0.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,4.0,4.0,5.0,satisfied,No
UZ91822307,Female,Loyal Customer,26.0,NJ,Business travel,Eco,1035.0,30.0,32.5,4.0,5.0,5.0,4.0,4.0,2.0,5.0,4.0,5.0,4.0,satisfied,Yes
JI33949065,Male,Disloyal Customer,23.0,NV,Business travel,Eco,466.0,30.0,30.0,2.0,1.0,2.0,0.0,5.0,5.0,1.0,0.0,3.0,0.0,neutral or dissatisfied,Yes
NV09514729,Male,Loyal Customer,15.0,MD,Personal Travel,Eco,248.0,30.0,32.5,0.0,5.0,3.0,0.0,5.0,5.0,1.0,0.0,5.0,0.0,neutral or dissatisfied,Yes
QV19583605,Female,Loyal Customer,60.0,NJ,Personal Travel,Eco,1075.0,0.0,1.0,0.0,4.0,0.0,3.0,4.0,2.0,2.0,5.0,2.0,3.0,satisfied,No
FI38250807,Female,Loyal Customer,52.0,NV,Business travel,Business,2454.0,0.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,satisfied,No
JY21537550,Female,Loyal Customer,24.0,TN,Business travel,Business,644.0,0.0,0.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,satisfied,No
LI52275647,Male,Loyal Customer,28.0,NJ,Business travel,Business,528.0,22.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,satisfied,Yes
UJ87010674,Female,Loyal Customer,30.0,NJ,Personal Travel,Eco,421.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,4.0,1.0,1.0,3.0,4.0,neutral or dissatisfied,No
JL86915944,Female,Loyal Customer,10.0,NJ,Business travel,Business,2631.0,7.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,1.0,5.0,satisfied,No
KQ85959636,Female,Loyal Customer,56.0,NJ,Personal Travel,Eco,853.0,2.0,0.0,2.0,5.0,2.0,0.0,4.0,2.0,2.0,1.0,2.0,0.0,neutral or dissatisfied,No
AD40259375,Male,Disloyal Customer,39.0,NJ,Business travel,Business,936.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,1.0,4.0,5.0,neutral or dissatisfied,No
RM24789971,Male,Loyal Customer,61.0,NC,Business travel,Business,319.0,30.0,32.5,0.0,5.0,5.0,1.0,0.0,3.0,1.0,2.0,3.0,1.0,neutral or dissatisfied,Yes
ZS94268375,Male,Loyal Customer,49.0,WA,Personal Travel,Business,1011.0,9.0,4.0,2.0,1.0,2.0,0.0,4.0,4.0,2.0,1.0,4.0,1.0,neutral or dissatisfied,No
WG98207253,Male,Loyal Customer,39.0,GA,Business travel,Business,1546.0,15.0,5.0,3.0,3.0,3.0,2.0,4.0,5.0,5.0,4.0,5.0,5.0,satisfied,Yes
LK01497983,Female,Disloyal Customer,25.0,NJ,Business travel,Eco Plus,634.0,0.0,0.0,1.0,3.0,1.0,0.0,5.0,5.0,2.0,1.0,3.0,0.0,neutral or dissatisfied,No
OJ95124476,Male,Disloyal Customer,40.0,MI,Business travel,Eco,163.0,0.0,0.0,4.0,0.0,4.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,satisfied,No
CI01498175,Male,Disloyal Customer,23.0,NJ,Business travel,Eco,723.0,0.0,32.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,neutral or dissatisfied,No
SJ13843086,Female,Loyal Customer,61.0,OR,Business travel,Eco,479.0,0.0,0.0,5.0,5.0,1.0,1.0,4.0,5.0,5.0,2.0,5.0,4.0,satisfied,No
JE54971158,Male,Loyal Customer,50.0,NJ,Business travel,Business,1958.0,19.0,16.0,3.0,3.0,3.0,2.0,5.0,4.0,4.0,3.0,4.0,5.0,satisfied,Yes
UB51341522,Female,Disloyal Customer,23.0,NJ,Business travel,Eco,226.0,2.0,0.0,4.0,0.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,satisfied,No
SD33011185,Female,Disloyal Customer,39.0,WA,Business travel,Business,247.0,30.0,32.5,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,5.0,2.0,neutral or dissatisfied,Yes
IY49872491,Male,Loyal Customer,55.0,CT,Personal Travel,Eco,109.0,2.0,3.0,0.0,3.0,3.0,0.0,5.0,4.0,1.0,2.0,5.0,4.0,neutral or dissatisfied,No
VO20403122,Female,Disloyal Customer,20.0,AL,Business travel,Business,909.0,30.0,1.0,4.0,0.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,satisfied,Yes
TU16609384,Male,Loyal Customer,58.0,NJ,Personal Travel,Eco,139.0,21.0,13.0,2.0,5.0,2.0,0.0,5.0,5.0,1.0,1.0,4.0,0.0,neutral or dissatisfied,Yes
RK91092897,Male,Loyal Customer,67.0,MI,Personal Travel,Eco,481.0,0.0,0.0,2.0,5.0,4.0,3.0,0.0,3.0,1.0,1.0,4.0,5.0,neutral or dissatisfied,No
IM66989975,Male,Loyal Customer,44.0,NJ,Personal Travel,Eco,701.0,0.0,0.0,0.0,4.0,3.0,0.0,4.0,4.0,1.0,0.0,5.0,4.0,neutral or dissatisfied,No
LU88869049,Male,Loyal Customer,47.0,VA,Business travel,Business,481.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,neutral or dissatisfied,No
UC61091980,Male,Loyal Customer,49.0,UT,Business travel,Business,3491.0,0.0,0.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,satisfied,No
SG43115380,Male,Disloyal Customer,23.0,MO,Business travel,Eco,566.0,10.0,15.0,2.0,2.0,2.0,0.0,5.0,5.0,2.0,0.0,1.0,0.0,neutral or dissatisfied,No
OT64837515,Female,Loyal Customer,47.0,UT,Business travel,Business,802.0,0.0,0.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,satisfied,No
RU28397500,Male,Loyal Customer,27.0,UT,Business travel,Business,2748.0,17.0,12.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,neutral or dissatisfied,Yes
DE13294227,Female,Loyal Customer,11.0,NJ,Personal Travel,Eco,645.0,0.0,0.0,2.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,2.0,neutral or dissatisfied,No
CA34132174,Male,Loyal Customer,39.0,NJ,Personal Travel,Eco,266.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,4.0,0.0,1.0,3.0,4.0,neutral or dissatisfied,No
CP22074314,Male,Loyal Customer,63.0,NJ,Business travel,Eco,175.0,30.0,32.5,1.0,3.0,3.0,0.0,4.0,4.0,2.0,0.0,3.0,4.0,neutral or dissatisfied,Yes
BU80994267,Female,Loyal Customer,66.0,NJ,Business travel,Eco,212.0,30.0,32.5,1.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,4.0,4.0,neutral or dissatisfied,Yes
XC09339010,Female,Loyal Customer,42.0,MI,Business travel,Business,399.0,0.0,7.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,satisfied,No
YG54325120,Male,Disloyal Customer,41.0,GA,Business travel,Eco Plus,591.0,30.0,32.5,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,0.0,neutral or dissatisfied,Yes
ON41340481,Female,Loyal Customer,59.0,OR,Business travel,Business,333.0,0.0,0.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,satisfied,No
BL81968115,Male,Loyal Customer,49.0,NJ,Personal Travel,Eco,184.0,0.0,0.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,0.0,5.0,2.0,neutral or dissatisfied,No
EM65394959,Female,Loyal Customer,44.0,NJ,Business travel,Eco,351.0,0.0,0.0,5.0,1.0,1.0,3.0,4.0,5.0,5.0,1.0,5.0,5.0,satisfied,No
DT11964092,Female,Loyal Customer,34.0,OH,Business travel,Business,1471.0,0.0,0.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,satisfied,No
IP16062730,Female,Loyal Customer,41.0,NJ,Business travel,Business,834.0,0.0,0.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,satisfied,No
LH58954698,Female,Loyal Customer,39.0,NJ,Business travel,Eco,448.0,0.0,0.0,4.0,5.0,5.0,4.0,4.0,4.0,1.0,2.0,2.0,4.0,satisfied,No
UA81873647,Female,Loyal Customer,59.0,SC,Personal Travel,Eco,1190.0,6.0,0.0,0.0,4.0,3.0,0.0,5.0,2.0,2.0,0.0,2.0,0.0,neutral or dissatisfied,No
RZ44101987,Female,Loyal Customer,59.0,NJ,Business travel,Eco,214.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,1.0,1.0,3.0,2.0,neutral or dissatisfied,No
XA83353790,Female,Disloyal Customer,26.0,NJ,Business travel,Business,679.0,0.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,5.0,5.0,1.0,satisfied,No
XG17621995,Female,Loyal Customer,32.0,CT,Business travel,Business,2000.0,0.0,17.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,1.0,3.0,4.0,satisfied,No
EE97736815,Female,Disloyal Customer,30.0,NJ,Business travel,Eco Plus,620.0,14.0,12.0,0.0,0.0,0.0,4.0,3.0,4.0,1.0,4.0,3.0,4.0,satisfied,No
LT97527482,Female,Loyal Customer,49.0,PA,Business travel,Eco,782.0,30.0,30.0,4.0,1.0,1.0,2.0,4.0,4.0,4.0,1.0,4.0,2.0,satisfied,Yes
AH69871828,Male,Loyal Customer,24.0,NJ,Business travel,Business,1874.0,6.0,19.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,1.0,3.0,4.0,satisfied,No
XW30622939,Male,Loyal Customer,60.0,UT,Business travel,Business,1789.0,8.0,0.0,5.0,5.0,5.0,2.0,5.0,2.0,2.0,5.0,2.0,4.0,satisfied,No
IF59966200,Female,Loyal Customer,47.0,NC,Business travel,Business,1911.0,1.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,5.0,3.0,4.0,satisfied,No
KQ46758635,Female,Disloyal Customer,25.0,MN,Business travel,Business,1389.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,5.0,2.0,neutral or dissatisfied,No
QC38914479,Male,Loyal Customer,59.0,NJ,Personal Travel,Eco,200.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,3.0,2.0,neutral or dissatisfied,No
MT52283383,Male,Disloyal Customer,41.0,NJ,Business travel,Eco,537.0,30.0,32.5,1.0,0.0,4.0,0.0,5.0,5.0,0.0,1.0,2.0,0.0,neutral or dissatisfied,Yes
RE13581132,Male,Loyal Customer,19.0,PA,Personal Travel,Eco,1084.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,neutral or dissatisfied,No
OH39243123,Male,Disloyal Customer,34.0,SC,Business travel,Business,522.0,30.0,32.5,2.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,5.0,neutral or dissatisfied,Yes
OA66477206,Male,Disloyal Customer,15.0,VA,Business travel,Eco,1170.0,30.0,32.5,0.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,neutral or dissatisfied,Yes
US37661539,Female,Loyal Customer,51.0,NJ,Business travel,Eco Plus,284.0,26.0,19.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,1.0,4.0,3.0,satisfied,Yes
DK32305950,Female,Loyal Customer,28.0,MA,Business travel,Business,3016.0,30.0,32.5,1.0,1.0,1.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,satisfied,Yes
IJ92293313,Male,Loyal Customer,52.0,VA,Business travel,Eco Plus,589.0,30.0,32.5,2.0,4.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,neutral or dissatisfied,Yes
YX12105207,Female,Disloyal Customer,54.0,NJ,Business travel,Business,190.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,3.0,0.0,1.0,4.0,5.0,neutral or dissatisfied,No
HI31351440,Female,Loyal Customer,46.0,NJ,Business travel,Eco Plus,979.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,3.0,1.0,1.0,3.0,4.0,neutral or dissatisfied,No
VS65889457,Female,Loyal Customer,37.0,MA,Personal Travel,Eco,1325.0,6.0,0.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,neutral or dissatisfied,No
ZZ71891002,Female,Loyal Customer,59.0,AR,Personal Travel,Eco,429.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0,3.0,1.0,3.0,1.0,satisfied,No
PS64602087,Male,Loyal Customer,67.0,NJ,Business travel,Eco,280.0,0.0,0.0,5.0,2.0,1.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,satisfied,No
BL97410182,Female,Loyal Customer,34.0,VA,Business travel,Business,1871.0,0.0,0.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,satisfied,No
EO91765543,Female,Disloyal Customer,37.0,NJ,Business travel,Eco,967.0,30.0,32.5,1.0,4.0,4.0,1.0,1.0,1.0,2.0,0.0,4.0,1.0,neutral or dissatisfied,Yes
TZ87205307,Male,Disloyal Customer,21.0,MD,Business travel,Eco,809.0,15.0,15.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,neutral or dissatisfied,Yes
BM12953123,Female,Loyal Customer,42.0,NC,Business travel,Business,369.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,3.0,4.0,neutral or dissatisfied,No
LD45079954,Male,Loyal Customer,61.0,NJ,Personal Travel,Eco,409.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,3.0,2.0,0.0,2.0,5.0,neutral or dissatisfied,No
QB04475240,Female,Loyal Customer,52.0,RI,Business travel,Business,2382.0,30.0,32.5,3.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,satisfied,Yes
OS73467413,Male,Disloyal Customer,30.0,NJ,Business travel,Business,1136.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,satisfied,No
JH94741002,Male,Disloyal Customer,20.0,OR,Business travel,Eco,802.0,30.0,18.0,0.0,3.0,3.0,3.0,0.0,3.0,1.0,2.0,4.0,5.0,neutral or dissatisfied,Yes
NE18335303,Female,Loyal Customer,55.0,NJ,Business travel,Business,3675.0,0.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,satisfied,No
NC13171203,Female,Disloyal Customer,20.0,MI,Business travel,Business,1246.0,9.0,24.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,satisfied,No
NG35602774,Male,Disloyal Customer,25.0,NJ,Business travel,Business,814.0,30.0,32.5,4.0,0.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,satisfied,Yes
VC86617327,Male,Loyal Customer,34.0,NC,Business travel,Eco,116.0,0.0,0.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,5.0,1.0,4.0,satisfied,No
KU03605953,Male,Loyal Customer,30.0,MD,Business travel,Eco Plus,680.0,0.0,0.0,1.0,3.0,3.0,0.0,4.0,4.0,0.0,1.0,4.0,4.0,neutral or dissatisfied,No
UC98836142,Male,Loyal Customer,52.0,PA,Business travel,Business,631.0,0.0,0.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,satisfied,No
QX36229729,Male,Loyal Customer,43.0,NC,Business travel,Business,101.0,0.0,0.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,4.0,5.0,satisfied,No
XP59686389,Female,Loyal Customer,35.0,NC,Business travel,Business,3066.0,30.0,32.5,3.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,satisfied,Yes
JL79220614,Male,Loyal Customer,44.0,NJ,Business travel,Eco Plus,515.0,0.0,8.0,1.0,5.0,5.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,neutral or dissatisfied,No
EZ36759987,Male,Loyal Customer,51.0,NJ,Business travel,Business,2454.0,9.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,satisfied,No
FM59269595,Male,Loyal Customer,51.0,OH,Business travel,Business,3739.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,satisfied,No
SB61551710,Male,Loyal Customer,58.0,NJ,Personal Travel,Eco,617.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,1.0,0.0,4.0,2.0,neutral or dissatisfied,No
OD74804599,Female,Disloyal Customer,25.0,GA,Business travel,Business,391.0,0.0,0.0,1.0,5.0,4.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,neutral or dissatisfied,No
EM71871605,Male,Loyal Customer,52.0,NJ,Business travel,Business,2580.0,30.0,32.5,0.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,neutral or dissatisfied,Yes
IW82648766,Female,Loyal Customer,70.0,OH,Personal Travel,Eco,373.0,0.0,0.0,2.0,0.0,4.0,1.0,2.0,4.0,0.0,0.0,4.0,4.0,neutral or dissatisfied,No
DN28378531,Male,Disloyal Customer,41.0,NJ,Business travel,Eco,402.0,0.0,13.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,neutral or dissatisfied,No
NH14769248,Male,Loyal Customer,34.0,MD,Personal Travel,Eco,373.0,10.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,satisfied,No
LA05436253,Female,Loyal Customer,47.0,LA,Business travel,Eco,2611.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,satisfied,No
KM54623053,Male,Loyal Customer,50.0,NJ,Business travel,Business,395.0,9.0,0.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,satisfied,No
OO38118178,Female,Loyal Customer,77.0,NJ,Business travel,Eco,229.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,1.0,2.0,3.0,5.0,neutral or dissatisfied,No
SD86914002,Female,Loyal Customer,49.0,UT,Business travel,Eco,449.0,30.0,32.5,2.0,1.0,1.0,3.0,0.0,2.0,2.0,0.0,2.0,4.0,neutral or dissatisfied,Yes
WN53191464,Female,Loyal Customer,48.0,NJ,Business travel,Business,2534.0,30.0,32.5,5.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,5.0,satisfied,Yes
XF95348517,Female,Loyal Customer,55.0,NJ,Business travel,Business,628.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,satisfied,No
