Code,Gender,Customer Type,Age,State,Type of Travel,Class,Flight Distance,Departure Delay in Minutes,Arrival Delay in Minutes
QV64031364,Male,Loyal Customer,35.0,,Personal Travel,Eco,1844.0,29.0,11.0
JJ45215375,Male,Loyal Customer,46.0,OR,Business travel,Business,779.0,5.0,14.0
OV71185596,Male,Loyal Customer,72.0,GA,Business travel,Business,3196.0,4.0,3.0
NJ66708143,Male,Loyal Customer,54.0,DC,Business travel,Business,1620.0,0.0,0.0
LX47037710,Male,Loyal Customer,44.0,CT,Business travel,Business,1913.0,0.0,14.0
FT25052416,Male,Loyal Customer,60.0,,Business travel,Business,3849.0,0.0,0.0
BU36222703,Male,Loyal Customer,16.0,,Personal Travel,Eco,590.0,0.0,0.0
EL84180369,Male,Loyal Customer,24.0,,Personal Travel,Business,931.0,0.0,42.0
OL11348923,Male,Loyal Customer,16.0,PA,Business travel,Eco Plus,307.0,9.0,9.0
QX55765638,Female,Loyal Customer,49.0,GA,Personal Travel,Eco,89.0,22.0,13.0
SD85774284,Male,Loyal Customer,14.0,OH,Personal Travel,Eco,937.0,0.0,0.0
SK90817757,Female,Disloyal Customer,22.0,OK,Business travel,Business,2565.0,0.0,0.0
XI90363384,Male,Loyal Customer,33.0,,Personal Travel,Eco,1011.0,67.0,63.0
PH94901670,Female,Loyal Customer,48.0,,Personal Travel,Eco,2161.0,0.0,0.0
CI57361181,Female,Loyal Customer,41.0,CO,Personal Travel,Eco Plus,262.0,0.0,0.0
QM52533135,Male,Disloyal Customer,28.0,VA,Business travel,Business,1635.0,0.0,0.0
OS56082419,Female,Loyal Customer,20.0,,Personal Travel,Eco,672.0,0.0,0.0
OX72808597,Male,Loyal Customer,60.0,CO,Business travel,Business,200.0,0.0,0.0
NH44823081,Female,Disloyal Customer,33.0,,Business travel,Business,399.0,0.0,0.0
DL10368687,Male,Loyal Customer,37.0,,Business travel,Business,1645.0,19.0,37.0
TN50776315,Male,Loyal Customer,22.0,,Personal Travel,Eco,359.0,0.0,0.0
EB39223772,Male,Loyal Customer,49.0,CT,Business travel,Eco,371.0,34.0,30.0
WD22984800,Male,Loyal Customer,34.0,,Business travel,Business,3755.0,0.0,0.0
ZJ98918258,Female,Disloyal Customer,37.0,,Business travel,Eco,355.0,0.0,0.0
AA19004987,Male,Loyal Customer,52.0,,Business travel,Business,3392.0,5.0,1.0
ZN61513035,Male,Loyal Customer,64.0,,Personal Travel,Eco,666.0,0.0,0.0
HA65164583,Female,Loyal Customer,21.0,KS,Personal Travel,Eco,308.0,0.0,0.0
HV23930636,Female,Loyal Customer,26.0,,Personal Travel,Eco,733.0,25.0,16.0
OC43477555,Male,Disloyal Customer,23.0,NC,Business travel,Eco,550.0,104.0,110.0
HV20132566,Male,Loyal Customer,15.0,KY,Personal Travel,Eco,901.0,0.0,0.0
JW87602748,Male,Loyal Customer,27.0,WA,Business travel,Business,1372.0,2.0,0.0
UD05476976,Female,Loyal Customer,40.0,MD,Business travel,Business,448.0,0.0,9.0
FZ73051722,Female,Loyal Customer,26.0,PA,Personal Travel,Business,399.0,10.0,36.0
AM66169522,Female,Loyal Customer,57.0,,Personal Travel,Eco,192.0,21.0,15.0
TX10788166,Female,Loyal Customer,30.0,NH,Business travel,Business,541.0,0.0,12.0
RL22023454,Male,Loyal Customer,57.0,AL,Business travel,Business,1197.0,0.0,0.0
KQ47370450,Male,Loyal Customer,26.0,,Personal Travel,Business,853.0,39.0,49.0
BS35607057,Female,Loyal Customer,22.0,NJ,Personal Travel,Business,209.0,4.0,1.0
XN67322363,Male,Loyal Customer,42.0,GA,Personal Travel,Eco,602.0,7.0,1.0
CM22664601,Female,Disloyal Customer,25.0,MD,Business travel,Business,541.0,0.0,0.0
OD47376943,Female,Loyal Customer,20.0,NC,Personal Travel,Eco,429.0,22.0,18.0
TW67794112,Female,Loyal Customer,34.0,MD,Business travel,Business,502.0,36.0,12.0
KX17887436,Female,Loyal Customer,43.0,,Personal Travel,Eco,423.0,0.0,6.0
VH89567398,Female,Loyal Customer,60.0,,Business travel,Business,2005.0,0.0,0.0
LD95922412,Male,Disloyal Customer,21.0,,Business travel,Eco,759.0,0.0,0.0
BD61658538,Male,Loyal Customer,42.0,CT,Business travel,Eco,2454.0,0.0,0.0
JQ23131659,Male,Loyal Customer,30.0,,Business travel,Business,2586.0,0.0,2.0
DC73907249,Male,Loyal Customer,54.0,KS,Personal Travel,Eco,447.0,0.0,0.0
RS34967344,Female,Loyal Customer,17.0,,Personal Travel,Eco,1068.0,0.0,0.0
UY60216397,Male,Loyal Customer,59.0,NJ,Business travel,Business,2148.0,3.0,0.0
JT76174958,Female,Loyal Customer,21.0,,Business travel,Business,3340.0,0.0,0.0
VV43520064,Male,Loyal Customer,44.0,,Business travel,Business,3752.0,0.0,0.0
NB04905945,Female,Loyal Customer,50.0,NV,Business travel,Eco,1069.0,0.0,0.0
ZZ55372971,Female,Loyal Customer,61.0,,Personal Travel,Eco,1844.0,4.0,0.0
DI27399575,Male,Loyal Customer,59.0,,Personal Travel,Eco Plus,1133.0,6.0,0.0
PM92490629,Female,Disloyal Customer,27.0,,Business travel,Eco,877.0,0.0,0.0
TA76525023,Female,Disloyal Customer,18.0,CO,Business travel,Eco,130.0,34.0,44.0
YX72118675,Male,Loyal Customer,38.0,,Business travel,Business,834.0,0.0,24.0
BE78531755,Male,Loyal Customer,13.0,,Personal Travel,Eco Plus,651.0,14.0,10.0
UB20054127,Male,Loyal Customer,25.0,,Business travel,Business,3327.0,12.0,24.0
IR46853497,Male,Disloyal Customer,16.0,,Business travel,Eco,781.0,4.0,3.0
RU90464008,Female,Loyal Customer,72.0,,Business travel,Business,500.0,0.0,0.0
HJ52801890,Female,Loyal Customer,48.0,NC,Personal Travel,Eco,1034.0,0.0,19.0
AQ33437139,Male,Loyal Customer,48.0,,Business travel,Business,1250.0,51.0,57.0
OY39331700,Female,Loyal Customer,18.0,MI,Business travel,Business,1670.0,0.0,0.0
HY70553933,Male,Loyal Customer,26.0,NC,Business travel,Eco,1674.0,332.0,321.0
OI15546055,Male,Disloyal Customer,26.0,MD,Business travel,Business,449.0,1.0,0.0
CK60740558,Female,Loyal Customer,65.0,MO,Personal Travel,Eco,546.0,0.0,0.0
ZP61882955,Female,Loyal Customer,63.0,,Personal Travel,Eco,86.0,0.0,0.0
OY02572817,Male,Disloyal Customer,9.0,WA,Business travel,Business,946.0,3.0,0.0
LN82658067,Female,Loyal Customer,8.0,OR,Personal Travel,Eco,1076.0,47.0,27.0
UP71597525,Male,Loyal Customer,51.0,,Business travel,Business,1620.0,0.0,0.0
GH90828011,Female,Loyal Customer,30.0,NC,Business travel,Business,1900.0,8.0,3.0
IJ06359552,Female,Disloyal Customer,26.0,AL,Business travel,Eco,114.0,0.0,0.0
FU07500951,Male,Loyal Customer,57.0,NJ,Business travel,Business,2757.0,5.0,0.0
MY23024024,Male,Loyal Customer,44.0,,Business travel,Business,3288.0,0.0,0.0
WY15102777,Female,Disloyal Customer,18.0,,Business travel,Eco,639.0,4.0,14.0
OT35883932,Female,Disloyal Customer,40.0,KY,Business travel,Business,183.0,0.0,0.0
MF13022665,Female,Loyal Customer,30.0,,Personal Travel,Eco,332.0,0.0,0.0
MD96265481,Male,Loyal Customer,54.0,,Business travel,Business,1096.0,0.0,12.0
LT87994083,Female,Loyal Customer,41.0,,Business travel,Business,3715.0,36.0,32.0
SQ20187411,Male,Loyal Customer,19.0,,Personal Travel,Eco,1222.0,5.0,0.0
RK81579824,Female,Loyal Customer,19.0,,Personal Travel,Eco,169.0,0.0,0.0
HM84339852,Female,Loyal Customer,55.0,,Personal Travel,Eco,164.0,0.0,0.0
HH59669510,Male,Loyal Customer,53.0,,Business travel,Business,239.0,0.0,0.0
QG98680522,Male,Loyal Customer,60.0,,Business travel,Business,2273.0,22.0,25.0
JL48529711,Male,Disloyal Customer,34.0,,Business travel,Business,1046.0,0.0,0.0
YT09231484,Male,Disloyal Customer,36.0,VA,Business travel,Eco,669.0,0.0,0.0
VF07267343,Male,Loyal Customer,38.0,NJ,Business travel,Eco,1597.0,0.0,0.0
CK87940608,Male,Loyal Customer,46.0,LA,Business travel,Business,1660.0,0.0,0.0
PX68496030,Female,Disloyal Customer,27.0,,Business travel,Eco,472.0,19.0,51.0
RJ62890395,Female,Loyal Customer,57.0,,Personal Travel,Eco,2504.0,0.0,0.0
CM08176591,Female,Loyal Customer,60.0,,Business travel,Eco,1754.0,0.0,0.0
BW99076787,Female,Loyal Customer,31.0,MI,Business travel,Eco,271.0,100.0,91.0
XY91730508,Male,Loyal Customer,34.0,,Personal Travel,Eco,689.0,5.0,0.0
IV57134389,Female,Loyal Customer,27.0,NJ,Personal Travel,Eco,1182.0,0.0,0.0
VD81132037,Female,Loyal Customer,44.0,,Business travel,Business,214.0,200.0,233.0
ID87635793,Male,Loyal Customer,48.0,,Personal Travel,Eco,214.0,7.0,0.0
AZ02234486,Female,Loyal Customer,68.0,,Personal Travel,Eco,134.0,0.0,0.0
LD07824704,Male,Loyal Customer,49.0,,Business travel,Business,646.0,0.0,0.0
XW12590190,Female,Loyal Customer,51.0,,Business travel,Business,1773.0,4.0,8.0
QV50065413,Male,Loyal Customer,50.0,OK,Personal Travel,Eco,731.0,0.0,0.0
NE80488953,Female,Loyal Customer,16.0,CO,Personal Travel,Eco,532.0,0.0,0.0
CB10490842,Female,Loyal Customer,22.0,DC,Business travel,Eco,771.0,0.0,2.0
BE90732290,Female,Disloyal Customer,27.0,MA,Business travel,Business,577.0,2.0,0.0
FU34214745,Male,Loyal Customer,66.0,,Personal Travel,Eco Plus,2402.0,0.0,0.0
YM07007735,Female,Loyal Customer,23.0,,Business travel,Eco,670.0,15.0,20.0
MC50446853,Female,Loyal Customer,29.0,PA,Personal Travel,Eco,2425.0,0.0,0.0
UQ00204861,Male,Loyal Customer,41.0,OH,Business travel,Business,861.0,133.0,123.0
DO76123757,Male,Loyal Customer,25.0,,Personal Travel,Eco Plus,1774.0,0.0,0.0
JE56478642,Female,Loyal Customer,68.0,MO,Personal Travel,Eco,825.0,14.0,12.0
KL73513948,Male,Loyal Customer,64.0,,Business travel,Business,693.0,0.0,0.0
CR59097409,Male,Disloyal Customer,40.0,,Business travel,Eco,425.0,74.0,68.0
FD56961382,Female,Loyal Customer,55.0,,Personal Travel,Eco,109.0,0.0,0.0
SK63622564,Male,Disloyal Customer,34.0,OH,Business travel,Business,543.0,36.0,26.0
KT15565816,Female,Disloyal Customer,23.0,CT,Business travel,Eco,1065.0,7.0,0.0
KD73326071,Female,Disloyal Customer,26.0,,Business travel,Business,767.0,8.0,15.0
HR01344244,Male,Disloyal Customer,24.0,,Business travel,Eco,1064.0,0.0,14.0
OE90661730,Male,Loyal Customer,12.0,KS,Personal Travel,Eco,373.0,1.0,0.0
NK41553639,Male,Loyal Customer,59.0,,Business travel,Business,3262.0,2.0,11.0
XX97273645,Male,Loyal Customer,52.0,MA,Business travel,Business,473.0,0.0,0.0
CB80459697,Male,Disloyal Customer,34.0,,Business travel,Eco,447.0,0.0,0.0
HW97199811,Male,Disloyal Customer,22.0,,Business travel,Eco,667.0,0.0,0.0
VA96202193,Male,Loyal Customer,30.0,,Business travel,Business,2391.0,0.0,0.0
YO01809721,Male,Loyal Customer,28.0,,Personal Travel,Eco,197.0,19.0,11.0
EH85006163,Female,Loyal Customer,51.0,MI,Personal Travel,Business,424.0,21.0,34.0
HP31471745,Male,Disloyal Customer,23.0,VA,Business travel,Eco,655.0,5.0,10.0
VT51465254,Male,Loyal Customer,44.0,,Business travel,Business,2023.0,0.0,0.0
QL97506612,Male,Loyal Customer,58.0,,Business travel,Business,431.0,2.0,12.0
XD59517744,Female,Loyal Customer,41.0,VA,Business travel,Business,3496.0,35.0,20.0
GX29766251,Male,Loyal Customer,24.0,,Business travel,Business,2753.0,0.0,0.0
ST27922282,Male,Loyal Customer,52.0,MA,Personal Travel,Eco,1102.0,103.0,137.0
WY16098284,Male,Disloyal Customer,36.0,,Business travel,Eco,391.0,0.0,0.0
CL67559987,Female,Loyal Customer,42.0,VA,Business travel,Business,3996.0,0.0,0.0
KG29829759,Male,Loyal Customer,50.0,WY,Business travel,Business,1576.0,0.0,0.0
YC38631056,Female,Loyal Customer,52.0,GA,Personal Travel,Eco Plus,1250.0,22.0,34.0
RF69875979,Female,Loyal Customer,35.0,,Personal Travel,Eco,946.0,0.0,0.0
CY78596837,Male,Loyal Customer,51.0,MA,Business travel,Business,3276.0,0.0,0.0
GJ21752469,Male,Loyal Customer,53.0,CO,Business travel,Business,2149.0,0.0,0.0
TX68696034,Female,Loyal Customer,31.0,,Personal Travel,Eco Plus,265.0,76.0,129.0
TF95974669,Female,Loyal Customer,56.0,NJ,Personal Travel,Eco,197.0,0.0,0.0
AG07092615,Male,Disloyal Customer,28.0,NV,Business travel,Eco,605.0,0.0,0.0
NV63105136,Male,Loyal Customer,46.0,,Personal Travel,Eco,862.0,1.0,0.0
IL35197422,Female,Disloyal Customer,34.0,NJ,Business travel,Eco,590.0,0.0,6.0
YL26779653,Male,Loyal Customer,38.0,AR,Personal Travel,Eco,909.0,0.0,0.0
EW31736476,Male,Loyal Customer,36.0,OK,Business travel,Business,2329.0,0.0,13.0
OI08534203,Female,Loyal Customer,58.0,,Personal Travel,Eco,725.0,0.0,0.0
PV38081880,Female,Disloyal Customer,23.0,,Business travel,Eco,1360.0,35.0,15.0
BL51097863,Female,Loyal Customer,56.0,DE,Personal Travel,Eco,296.0,23.0,13.0
MO35728847,Male,Loyal Customer,35.0,VA,Business travel,Eco,2556.0,0.0,0.0
DQ26233892,Female,Loyal Customer,23.0,MD,Business travel,Business,3679.0,23.0,10.0
OZ53312282,Female,Loyal Customer,42.0,,Business travel,Eco,984.0,56.0,53.0
TE43973606,Male,Disloyal Customer,11.0,,Business travel,Business,986.0,0.0,9.0
FM50370412,Female,Loyal Customer,54.0,VA,Personal Travel,Eco Plus,109.0,0.0,0.0
CV92303845,Male,Loyal Customer,18.0,,Personal Travel,Business,948.0,0.0,11.0
OD46370864,Male,Loyal Customer,30.0,,Business travel,Business,547.0,0.0,0.0
XF34557761,Male,Disloyal Customer,25.0,SC,Business travel,Business,993.0,0.0,0.0
TU79545513,Female,Loyal Customer,52.0,OR,Business travel,Eco,674.0,33.0,25.0
UD77154160,Female,Loyal Customer,41.0,AL,Business travel,Business,2677.0,4.0,0.0
DE28869155,Male,Loyal Customer,39.0,,Business travel,Business,2503.0,10.0,0.0
QE72324471,Female,Loyal Customer,37.0,,Business travel,Business,3484.0,0.0,4.0
MA10863990,Female,Disloyal Customer,21.0,VA,Business travel,Eco,366.0,0.0,0.0
RY12290282,Female,Disloyal Customer,27.0,MD,Business travel,Eco,217.0,0.0,0.0
PA60396283,Female,Loyal Customer,38.0,NJ,Personal Travel,Eco,1514.0,2.0,23.0
CU29376657,Female,Loyal Customer,36.0,,Business travel,Business,387.0,0.0,0.0
RG57081136,Male,Loyal Customer,62.0,,Personal Travel,Eco,802.0,0.0,17.0
NU26781371,Male,Loyal Customer,32.0,,Business travel,Business,1552.0,108.0,176.0
AK58087817,Male,Loyal Customer,16.0,,Personal Travel,Business,944.0,0.0,6.0
NA94830804,Male,Loyal Customer,48.0,,Business travel,Business,592.0,0.0,0.0
ZF78293898,Female,Loyal Customer,35.0,,Business travel,Business,2897.0,1.0,0.0
QN75448628,Female,Loyal Customer,40.0,,Business travel,Business,1237.0,0.0,0.0
SQ97599271,Male,Loyal Customer,56.0,GA,Personal Travel,Business,189.0,26.0,15.0
SL00841510,Male,Loyal Customer,32.0,MO,Business travel,Business,2916.0,0.0,0.0
KP25371330,Female,Loyal Customer,31.0,NM,Business travel,Business,1754.0,0.0,0.0
LB23599558,Male,Loyal Customer,54.0,NC,Business travel,Business,507.0,0.0,0.0
OK72352655,Female,Loyal Customer,32.0,,Personal Travel,Eco,1428.0,11.0,5.0
QO18366916,Female,Loyal Customer,52.0,,Business travel,Eco Plus,782.0,24.0,17.0
FK98721799,Female,Loyal Customer,19.0,NC,Personal Travel,Eco,926.0,0.0,0.0
QY67267132,Male,Disloyal Customer,34.0,MA,Business travel,Eco,438.0,91.0,77.0
AE93367897,Male,Loyal Customer,22.0,,Business travel,Business,2446.0,0.0,0.0
ZS04169021,Female,Loyal Customer,69.0,AL,Business travel,Business,2221.0,14.0,17.0
JG60718385,Female,Loyal Customer,40.0,OK,Business travel,Business,3052.0,9.0,8.0
VZ44887491,Male,Loyal Customer,42.0,,Business travel,Business,3311.0,0.0,7.0
RZ83340752,Male,Disloyal Customer,16.0,,Business travel,Eco,507.0,0.0,0.0
IS01546655,Female,Loyal Customer,61.0,PA,Personal Travel,Eco,391.0,0.0,27.0
TF98842635,Female,Loyal Customer,7.0,,Personal Travel,Eco,309.0,58.0,71.0
BA52986937,Male,Loyal Customer,46.0,GA,Business travel,Business,2500.0,0.0,0.0
OY13259415,Male,Loyal Customer,41.0,,Business travel,Business,442.0,8.0,7.0
MH59995793,Male,Loyal Customer,77.0,,Business travel,Business,1621.0,0.0,0.0
ML07048342,Female,Loyal Customer,50.0,,Personal Travel,Eco,315.0,54.0,87.0
BR57064336,Female,Loyal Customer,38.0,,Business travel,Business,109.0,0.0,0.0
QW75449343,Male,Loyal Customer,41.0,MO,Personal Travel,Eco,834.0,0.0,0.0
XD77751174,Female,Loyal Customer,13.0,,Personal Travel,Eco,1747.0,23.0,3.0
ZF36765547,Female,Loyal Customer,38.0,,Business travel,Eco,248.0,9.0,9.0
PP88057510,Male,Loyal Customer,43.0,CT,Personal Travel,Eco,612.0,16.0,2.0
LJ39712748,Female,Disloyal Customer,24.0,RI,Business travel,Eco,373.0,0.0,0.0
RF46788703,Female,Loyal Customer,50.0,,Business travel,Business,406.0,15.0,0.0
CI37876000,Male,Loyal Customer,59.0,,Business travel,Business,2988.0,0.0,0.0
NG65902655,Female,Loyal Customer,46.0,AL,Business travel,Business,1646.0,0.0,0.0
GZ57662087,Female,Loyal Customer,53.0,PA,Business travel,Business,473.0,0.0,0.0
UF16924750,Male,Loyal Customer,37.0,,Personal Travel,Eco,541.0,0.0,9.0
XM69354854,Male,Loyal Customer,40.0,WA,Business travel,Business,2246.0,0.0,15.0
ZV80248346,Female,Disloyal Customer,21.0,MA,Business travel,Business,889.0,29.0,20.0
IZ77029039,Female,Loyal Customer,36.0,MO,Personal Travel,Eco,862.0,65.0,49.0
NB21449193,Female,Disloyal Customer,25.0,,Business travel,Business,1671.0,61.0,52.0
TS78715049,Female,Loyal Customer,43.0,,Business travel,Eco Plus,73.0,0.0,0.0
MI96584762,Male,Disloyal Customer,36.0,VA,Business travel,Eco,297.0,447.0,433.0
YZ81592811,Female,Disloyal Customer,27.0,KY,Business travel,Eco,266.0,1.0,20.0
JC27755289,Female,Loyal Customer,53.0,,Business travel,Business,2133.0,2.0,0.0
XY42129969,Male,Loyal Customer,45.0,,Personal Travel,Eco,221.0,0.0,7.0
ZI88470812,Male,Disloyal Customer,24.0,,Business travel,Eco,436.0,0.0,0.0
QU90325435,Male,Loyal Customer,50.0,PA,Personal Travel,Eco,248.0,11.0,0.0
TD34120473,Female,Loyal Customer,17.0,DE,Business travel,Business,860.0,37.0,30.0
IW98762805,Female,Loyal Customer,68.0,VA,Personal Travel,Eco,255.0,40.0,33.0
ZA87160452,Male,Loyal Customer,60.0,,Personal Travel,Eco,1546.0,2.0,16.0
YS79084393,Female,Loyal Customer,52.0,MN,Personal Travel,Eco,758.0,0.0,0.0
BZ17116701,Female,Loyal Customer,49.0,CT,Business travel,Business,628.0,0.0,15.0
NO15909560,Male,Disloyal Customer,24.0,,Business travel,Eco,190.0,27.0,20.0
JO05608071,Female,Loyal Customer,51.0,CT,Business travel,Business,2100.0,0.0,3.0
EF63075908,Male,Disloyal Customer,29.0,OH,Business travel,Eco,1385.0,0.0,0.0
GZ09043787,Female,Disloyal Customer,26.0,,Business travel,Eco,620.0,0.0,0.0
MJ32962317,Female,Loyal Customer,36.0,HI,Business travel,Eco,253.0,0.0,0.0
QX71368140,Female,Loyal Customer,56.0,,Personal Travel,Eco,946.0,0.0,0.0
ZJ50979659,Male,Loyal Customer,60.0,WA,Personal Travel,Eco,387.0,0.0,0.0
PM83956314,Female,Disloyal Customer,21.0,VA,Business travel,Eco,1131.0,20.0,8.0
PE86057668,Female,Loyal Customer,54.0,,Business travel,Business,1995.0,0.0,0.0
TS45018766,Male,Loyal Customer,41.0,,Business travel,Business,1055.0,0.0,0.0
KR31923764,Female,Loyal Customer,32.0,,Personal Travel,Eco,1005.0,12.0,16.0
ZZ65241142,Female,Disloyal Customer,32.0,,Business travel,Eco,927.0,8.0,19.0
BI41045577,Female,Loyal Customer,43.0,,Business travel,Business,2798.0,38.0,24.0
JL15141628,Female,Loyal Customer,28.0,KY,Business travel,Business,680.0,0.0,0.0
RC81911501,Male,Loyal Customer,12.0,CT,Personal Travel,Eco Plus,646.0,67.0,46.0
YL18075518,Female,Loyal Customer,40.0,,Business travel,Eco Plus,1258.0,0.0,0.0
GB46328956,Male,Loyal Customer,52.0,,Business travel,Eco,360.0,0.0,0.0
XQ71822735,Male,Loyal Customer,23.0,,Business travel,Business,1788.0,0.0,0.0
EU90054086,Male,Loyal Customer,47.0,NJ,Business travel,Business,404.0,21.0,19.0
IM14718487,Female,Loyal Customer,47.0,CT,Business travel,Business,1080.0,0.0,0.0
TQ16197289,Male,Loyal Customer,54.0,,Business travel,Business,779.0,27.0,30.0
AQ63040888,Female,Loyal Customer,29.0,OR,Personal Travel,Eco,89.0,29.0,24.0
VI26198903,Female,Loyal Customer,38.0,AR,Business travel,Business,209.0,0.0,0.0
WX18290974,Male,Loyal Customer,43.0,,Business travel,Business,337.0,0.0,0.0
YS15591920,Female,Loyal Customer,54.0,MO,Business travel,Eco,760.0,29.0,38.0
LP14460379,Female,Loyal Customer,54.0,,Business travel,Eco,489.0,0.0,0.0
SG21723566,Female,Loyal Customer,54.0,,Personal Travel,Eco Plus,864.0,29.0,34.0
AN61516311,Male,Loyal Customer,7.0,OH,Personal Travel,Business,1744.0,0.0,0.0
QA41884702,Male,Loyal Customer,38.0,GA,Business travel,Eco,744.0,13.0,21.0
SR74170723,Male,Loyal Customer,21.0,,Personal Travel,Business,332.0,5.0,8.0
QV59904903,Male,Loyal Customer,37.0,,Business travel,Business,354.0,1.0,4.0
NK92671156,Male,Loyal Customer,33.0,,Personal Travel,Eco,377.0,10.0,0.0
CF48129928,Male,Loyal Customer,12.0,NJ,Personal Travel,Eco,362.0,0.0,0.0
RB12914147,Female,Loyal Customer,46.0,PA,Business travel,Business,2894.0,36.0,31.0
TV02760583,Male,Loyal Customer,49.0,CO,Business travel,Business,764.0,0.0,10.0
EU11132136,Male,Loyal Customer,58.0,,Business travel,Eco Plus,1372.0,0.0,0.0
TP17831312,Female,Loyal Customer,20.0,CT,Business travel,Business,3391.0,2.0,7.0
LL10932150,Male,Loyal Customer,40.0,,Business travel,Business,957.0,0.0,0.0
FA51591120,Male,Loyal Customer,59.0,PA,Business travel,Business,239.0,4.0,7.0
IL75643613,Male,Loyal Customer,57.0,OR,Business travel,Business,271.0,6.0,3.0
QL36724420,Male,Loyal Customer,40.0,,Business travel,Business,1984.0,12.0,0.0
LE60445569,Male,Loyal Customer,59.0,,Business travel,Business,946.0,12.0,7.0
OV41315008,Male,Loyal Customer,31.0,OH,Business travel,Business,2084.0,0.0,0.0
US33080131,Male,Loyal Customer,32.0,,Business travel,Business,2916.0,1305.0,1280.0
VZ47909481,Female,Loyal Customer,50.0,,Personal Travel,Eco,552.0,1.0,0.0
HZ33725036,Male,Disloyal Customer,19.0,WA,Business travel,Eco,883.0,0.0,0.0
DL02509893,Female,Disloyal Customer,23.0,VA,Business travel,Eco,189.0,14.0,17.0
ZB99834871,Female,Loyal Customer,48.0,,Business travel,Business,2938.0,0.0,0.0
DI59724342,Female,Loyal Customer,55.0,CO,Business travel,Business,3608.0,0.0,0.0
AP55369934,Male,Loyal Customer,21.0,NC,Personal Travel,Eco,868.0,0.0,0.0
EI85563543,Male,Loyal Customer,48.0,PA,Business travel,Business,1569.0,0.0,0.0
DI10194721,Male,Loyal Customer,46.0,,Business travel,Business,2144.0,1.0,0.0
DD19318567,Male,Loyal Customer,46.0,,Business travel,Business,3792.0,0.0,0.0
FU88593477,Female,Loyal Customer,29.0,OH,Business travel,Business,2264.0,0.0,0.0
EG82131446,Female,Loyal Customer,39.0,WA,Business travel,Business,3327.0,75.0,69.0
XB29498835,Female,Loyal Customer,14.0,,Personal Travel,Eco,327.0,28.0,29.0
NC42688529,Male,Disloyal Customer,30.0,,Business travel,Eco,311.0,0.0,0.0
EX00866989,Female,Loyal Customer,40.0,SC,Business travel,Business,3557.0,0.0,0.0
QX52240473,Male,Loyal Customer,59.0,GA,Business travel,Business,397.0,6.0,10.0
JS37670812,Male,Loyal Customer,39.0,,Business travel,Eco,230.0,0.0,0.0
ZL94064038,Female,Loyal Customer,24.0,,Business travel,Business,3010.0,0.0,4.0
YM58212801,Female,Loyal Customer,31.0,,Personal Travel,Eco,404.0,10.0,1.0
CT31725520,Female,Loyal Customer,24.0,,Business travel,Business,2298.0,23.0,0.0
OW85077356,Male,Loyal Customer,59.0,,Business travel,Business,3473.0,0.0,0.0
HQ44411150,Male,Loyal Customer,43.0,,Business travel,Eco,416.0,21.0,24.0
BI87153101,Male,Loyal Customer,36.0,,Business travel,Business,488.0,73.0,62.0
EE69916718,Male,Disloyal Customer,38.0,MN,Business travel,Eco,835.0,10.0,8.0
BA65294688,Male,Loyal Customer,57.0,NC,Business travel,Business,1966.0,71.0,47.0
CE52803820,Male,Loyal Customer,61.0,CT,Personal Travel,Eco,646.0,11.0,3.0
AA29914394,Female,Loyal Customer,38.0,,Business travel,Eco Plus,86.0,2.0,0.0
QW99599028,Male,Loyal Customer,25.0,OH,Personal Travel,Eco,912.0,0.0,0.0
ZG05203908,Male,Loyal Customer,54.0,,Business travel,Business,224.0,0.0,0.0
CP27767018,Male,Loyal Customer,7.0,GA,Business travel,Eco,2172.0,27.0,7.0
SZ64717464,Male,Loyal Customer,55.0,GA,Business travel,Business,278.0,0.0,16.0
DP98936968,Male,Loyal Customer,55.0,RI,Business travel,Business,296.0,27.0,19.0
PX21582151,Female,Loyal Customer,25.0,,Business travel,Business,3939.0,22.0,11.0
IS78331014,Male,Loyal Customer,68.0,,Personal Travel,Eco,952.0,0.0,7.0
JH08346333,Male,Loyal Customer,57.0,,Business travel,Business,3868.0,0.0,0.0
VB65674996,Male,Disloyal Customer,27.0,HI,Business travel,Business,907.0,2.0,0.0
RT86123272,Male,Loyal Customer,69.0,,Business travel,Business,767.0,0.0,0.0
DY77910155,Male,Loyal Customer,31.0,,Business travel,Eco,781.0,50.0,42.0
SD51435443,Female,Loyal Customer,54.0,PA,Business travel,Eco Plus,306.0,9.0,4.0
UK26539317,Male,Loyal Customer,28.0,,Business travel,Business,3066.0,29.0,0.0
CY01393486,Male,Disloyal Customer,27.0,NV,Business travel,Eco,581.0,12.0,0.0
TE13561425,Female,Loyal Customer,59.0,,Personal Travel,Eco,544.0,0.0,16.0
GU26402932,Male,Loyal Customer,47.0,LA,Business travel,Business,2521.0,0.0,14.0
BM29414975,Female,Loyal Customer,45.0,PA,Business travel,Business,1747.0,0.0,0.0
QH24214289,Female,Disloyal Customer,29.0,,Business travel,Eco,545.0,20.0,20.0
IS85932636,Female,Loyal Customer,29.0,MI,Business travel,Eco,2586.0,71.0,47.0
OC03890815,Male,Loyal Customer,60.0,MN,Business travel,Business,1613.0,0.0,0.0
OL85621225,Male,Loyal Customer,8.0,,Personal Travel,Eco,391.0,17.0,13.0
UL39448691,Male,Loyal Customer,47.0,VA,Personal Travel,Eco,936.0,0.0,2.0
